"id","n","data_q","fit_q","algo","rep","logZ","eps","iters","secs","status"
"n030_d3_f3_reg_r11",30,3,3,"RE-gaussian",11,-21.5961368036177,1,7,20.7166309356689,"ok"
"n030_d3_f3_reg_r12",30,3,3,"RE-gaussian",12,-21.5956658459615,1,8,22.7631950378418,"ok"
"n030_d3_f3_reg_r13",30,3,3,"RE-gaussian",13,-21.6608905404576,1,7,21.2145240306854,"ok"
"n030_d3_f3_reg_r14",30,3,3,"RE-gaussian",14,-21.4821785951248,1,7,22.1565191745758,"ok"
"n030_d3_f3_reg_r15",30,3,3,"RE-gaussian",15,-21.4594089992875,1,7,22.9005169868469,"ok"
"n030_d3_f3_reg_r16",30,3,3,"RE-gaussian",16,-21.58779386603,1,7,22.979749917984,"ok"
"n030_d3_f3_reg_r17",30,3,3,"RE-gaussian",17,-21.515748712599,1,7,22.7375421524048,"ok"
"n030_d3_f3_reg_r18",30,3,3,"RE-gaussian",18,-21.7213105181566,1,7,22.7735149860382,"ok"
"n030_d3_f3_reg_r19",30,3,3,"RE-gaussian",19,-21.6096127180673,1,7,22.5320429801941,"ok"
"n030_d3_f3_reg_r20",30,3,3,"RE-gaussian",20,-21.6270657559306,1,7,21.6654739379883,"ok"
"n030_d3_f3_reg_r21",30,3,3,"RE-gaussian",21,-21.5046786702287,1,7,20.7748029232025,"ok"
"n030_d3_f3_reg_r22",30,3,3,"RE-gaussian",22,-21.5075216327261,1,7,20.9635529518127,"ok"
"n030_d3_f3_reg_r23",30,3,3,"RE-gaussian",23,-21.6685932080203,1,7,21.0506401062012,"ok"
"n030_d3_f3_reg_r24",30,3,3,"RE-gaussian",24,-21.5823980565898,1,7,21.1282839775085,"ok"
"n030_d3_f3_reg_r25",30,3,3,"RE-gaussian",25,-21.6816158534813,1,8,22.909373998642,"ok"
"n030_d3_f3_reg_r26",30,3,3,"RE-gaussian",26,-21.7349861571563,1,8,22.8701231479645,"ok"
"n030_d3_f3_reg_r27",30,3,3,"RE-gaussian",27,-21.55008567961,1,7,21.1770842075348,"ok"
"n030_d3_f3_reg_r28",30,3,3,"RE-gaussian",28,-21.5426899062812,1,7,20.7928380966187,"ok"
"n030_d3_f3_reg_r29",30,3,3,"RE-gaussian",29,-21.6665204859133,1,7,20.872565984726,"ok"
"n030_d3_f3_reg_r30",30,3,3,"RE-gaussian",30,-21.801079070129,1,7,20.6354160308838,"ok"
"n030_d3_f3_rpm_r01",30,3,3,"RE-pcnmala",1,-21.7127324529314,1,8,316.19434094429,"ok"
